Tier,Analyzer,Compared against,Reported numbers,Source,Sample-size caveat
High-end/mid-tier,Sysmex XN-1000,"Atellica HEMA 580 (CLSI EP09c method comparison, n=100)","r = 0.999 (RBC), 0.998 (HGB), 0.996 (WBC), 0.995 (PLT-I)",[1],
High-end/mid-tier,Sysmex XR-series,Established Sysmex XN reference system,"r = 0.998 (RBC), 1.000 (WBC), 1.000 (PLT), 0.999 (HGB); Bland-Altman bias ~0 except PLT (-1.6, LoA -11.8 to 8.6)",[2],
High-end/mid-tier,Beckman Coulter DxH 900,Manual 400-cell microscopic differential (n=100),"R >= 0.88 for leukocyte differential, all parameters except basophils; flag sensitivity >90%",[3],
High-end/mid-tier,Beckman Coulter DxH 900,Sysmex XN20 (reference: manual microscopy for abnormal-cell flags),"""Excellent degree of association"" for leukocyte differential; IG% bias 1.2% (95% CI 0.9-1.5), r = 0.90",[4],
High-end/mid-tier,Dymind DH76 (mid/5-part),Sysmex XN-1000,"R^2 = 1.000 (WBC), 0.999 (RBC), 0.999 (HGB), 0.994 (PLT>50e9/L), 0.910 (PLT<50e9/L)",[5],
Low-end/POC,Sysmex XQ-320 (3-part),"Sysmex XN-9000, used as in-lab gold standard (n=493)","r > 0.94 for most of 20 parameters; weaker for MXD# (0.891), MXD% (0.898), MCHC (0.849)",[6],
Low-end/POC,ERBA ELite 580 (budget 5-part),Beckman Coulter LH 780,"R^2 > 0.90 for most CBC/differential parameters, except MCHC (0.35) and basophils",[7],
Low-end/POC,"HemoScreen (point-of-care, microfluidic)",Sysmex XN (multi-site),Bland-Altman bias & 95% LoA reported per parameter; agreement good overall but LoA noticeably wider than high-end-vs-high-end comparisons,[8],
Low-end/POC,"Cito POC CBC (microfluidic, CLIA-waived)",In-laboratory reference hematology analyzer (n=551),"Mean % bias <2% for WBC, RBC, PLT, HGB, HCT; larger bias for monocytes (+25.9%), basophils (-15%); overall abnormal-flag agreement 93.3%",[9],
Low-end/POC,QBC Autoread Plus (basic point-of-care),"Trained lab staff, same device, operated by non-medical staff","r = 0.91 (Hct), 0.96 (WBC), 0.92 (Plt); Bland-Altman bias 0.5% (Hct), 0.1x10^9/L (WBC), 10x10^9/L (Plt)",[10],
Low-end/POC,Mindray BC-5180 (budget 5-part),Sysmex XN-1000,"Passing-Bablok regression + Pearson correlation reported; strong agreement, consistent with the mid-tier analyzers above",[11],
This study,Our system (SSDLite / EfficientNet-B0 on Raspberry Pi),"Biomed-student manual counts, 72-image set","Pearson r=0.151 (RBC); r=0.307 (WBC); r=nan (Platelets); Bland-Altman RBC: bias=-11.11, LoA=[-20.94, -1.28]; WBC: bias=-0.38, LoA=[-1.90, 1.15]; Platelets: bias=-3.12, LoA=[-11.13, 4.88]; Passing-Bablok RBC: slope=0.500 [0.250, 0.750], intercept=1.000 [-5.750, 7.000]; WBC: slope=-0.000 [-0.000, -0.000], intercept=1.000 [1.000, 1.000]; Platelets: slope=0.000 [-0.000, 0.000], intercept=0.000 [0.000, 0.000]",This study,"n=72 paired images, below the CLSI EP09c-style convention of ~40+ paired samples cited in the literature review; report with confidence intervals rather than as a fully-powered clinical validation."
